
 ID	Pts	-	Pref	 B5	 B6	   Cur		

  1	  0	 	  A 	   	   	 (14W)		
  2	  0	 	  A 	   	   	 (15B)		
  3	  0	 	  A 	   	   	 (16W)		
  4	  0	 	  A 	   	   	 (17B)		
  5	  0	 	  A 	   	   	 (18W)		
  6	  0	 	  A 	   	   	 (19B)		
  7	  0	 	  A 	   	   	 (20W)		
  8	  0	 	  A 	   	   	 (21B)		
  9	  0	 	  A 	   	   	 (22W)		
 10	  0	 	  A 	   	   	 (23B)		
 11	  0	 	  A 	   	   	 (24W)		
 12	  0	 	  A 	   	   	 (25B)		
 13	  0	 	  A 	   	   	 (26W)		
 14	  0	 	  A 	   	   	  (1B)		
 15	  0	 	  A 	   	   	  (2W)		
 16	  0	 	  A 	   	   	  (3B)		
 17	  0	 	  A 	   	   	  (4W)		
 18	  0	 	  A 	   	   	  (5B)		
 19	  0	 	  A 	   	   	  (6W)		
 20	  0	 	  A 	   	   	  (7B)		
 21	  0	 	  A 	   	   	  (8W)		
 22	  0	 	  A 	   	   	  (9B)		
 23	  0	 	  A 	   	   	 (10W)		
 24	  0	 	  A 	   	   	 (11B)		
 25	  0	 	  A 	   	   	 (12W)		
 26	  0	 	  A 	   	   	 (13B)		


JaVaFo (rrweb.org/javafo) - Rel. 1.4 (Build 1913)
