
 ID	 Pts	----	Pref	 B5	 B6	   Cur		 R1	 R2	 R3	

  3	 3.0	  WB	 ~w 	   	  ▼	  (4W)		   	 16	  6	

  2	 2.5	 BWB	  w 	   	   	 (23W)		 15	  9	  4	
  4	 2.5	 BWW	  B 	   	   	  (3B)		 17	 13	  2	
  5	 2.5	 WBW	  b 	   	   	  (6W)		 18	 24	 11	
 23	 2.5	 WWB	  b 	  ▼	   	  (2B)		 10	  7	  1	

  1	 2.0	 WBW	  b 	  ▲	   	 (15B)		 14	 18	 23	
  6	 2.0	 BWW	  B 	   	   	  (5B)		 19	 21	  3	
 13	 2.0	 WBW	  b 	   	   	 (10B)		 26	  4	 21	
 15	 2.0	 WBB	  W 	   	   	  (1W)		  2	 22	  7	

  9	 1.5	 WBW	  b 	   	   	 (17B)		 22	  2	 16	
 10	 1.5	 BWB	  w 	   	   	 (13W)		 23	 20	 19	
 11	 1.5	 WBB	  W 	   	   	 (12W)		 24	 14	  5	
 12	 1.5	  BW	 ~b 	   	   	 (11B)		   	 25	 17	
 16	 1.5	 BWB	  w 	   	   	  (7W)		  3	 25	  9	
 17	 1.5	 WBB	  W 	   	   	  (9W)		  4	 26	 12	

  7	 1.0	 WBW	  b 	   	   	 (16B)		 20	 23	 15	
  8	 1.0	 BWB	  w 	   	   	 (20W)		 21	 19	 18	
 14	 1.0	 BWB	  w 	   	   	 (25W)		  1	 11	 20	
 18	 1.0	 BWW	  B 	   	   	 (24B)		  5	  1	  8	
 20	 1.0	 BBW	  w 	   	   	  (8B)		  7	 10	 14	
 21	 1.0	 WBB	  W 	   	   	 (19W)		  8	  6	 13	
 24	 1.0	 BWB	  w 	  ▼	   	 (18W)		 11	  5	 22	
 25	 1.0	 WBW	  b 	   	   	 (14B)		 12	 16	 26	

 19	 0.5	 WBW	  b 	   	   	 (21B)		  6	  8	 10	
 22	 0.5	 BWW	  B 	  ▲	   	 (26B)		  9	 15	 24	

 26	 0.0	 BWB	  w 	   	   	 (22W)		 13	 17	 25	


JaVaFo (rrweb.org/javafo) - Rel. 1.4 (Build 1913)
