
 ID	 Pts	-----	Pref	 B5	 B6	   Cur		 R1	 R2	 R3	 R4	

  3	 4.0	  WBW	 (B)	  ▼	   	  (2B)		   	 16	  6	  4	

  2	 3.5	 BWBW	  b 	   	   	  (3W)		 15	  9	  4	 23	

  1	 3.0	 WBWB	  w 	   	  ▲	  (6W)		 14	 18	 23	 15	
  6	 3.0	 BWWB	  w 	  ▲	   	  (1B)		 19	 21	  3	  5	

  4	 2.5	 BWWB	  w 	  ▲	   	 (23B)		 17	 13	  2	  3	
  5	 2.5	 WBWW	  B 	  ▼	   	 (13B)		 18	 24	 11	  6	
 13	 2.5	 WBWB	  w 	  ▼	   	  (5W)		 26	  4	 21	 10	
 23	 2.5	 WWBB	  W 	   	  ▼	  (4W)		 10	  7	  1	  2	

  7	 2.0	 WBWB	  w 	  ▲	   	 (14W)		 20	 23	 15	 16	
  8	 2.0	 BWBW	  b 	   	   	 (12B)		 21	 19	 18	 20	
  9	 2.0	 WBWB	  w 	   	   	 (15W)		 22	  2	 16	 17	
 10	 2.0	 BWBW	  b 	  ▲	   	 (17B)		 23	 20	 19	 13	
 11	 2.0	 WBBW	  b 	   	   	 (18B)		 24	 14	  5	 12	
 12	 2.0	  BWB	 (W)	   	   	  (8W)		   	 25	 17	 11	
 14	 2.0	 BWBW	  b 	   	   	  (7B)		  1	 11	 20	 25	
 15	 2.0	 WBBW	  b 	   	   	  (9B)		  2	 22	  7	  1	
 17	 2.0	 WBBW	  b 	   	   	 (10W)		  4	 26	 12	  9	
 18	 2.0	 BWWB	  w 	   	   	 (11W)		  5	  1	  8	 24	

 16	 1.5	 BWBW	  b 	  ▼	   	 (22B)		  3	 25	  9	  7	
 21	 1.5	 WBBW	  b 	  ▼	   	 (20B)		  8	  6	 13	 19	
 22	 1.5	 BWWB	  w 	  ▼	  ▲	 (16W)		  9	 15	 24	 26	

 19	 1.0	 WBWB	  w 	  ▲	   	 (26W)		  6	  8	 10	 21	
 20	 1.0	 BBWB	  W 	   	   	 (21W)		  7	 10	 14	  8	
 24	 1.0	 BWBW	  b 	   	  ▼	 (25B)		 11	  5	 22	 18	
 25	 1.0	 WBWB	  w 	   	   	 (24W)		 12	 16	 26	 14	

 26	 0.0	 BWBW	  b 	  ▲	   	 (19B)		 13	 17	 25	 22	


JaVaFo (rrweb.org/javafo) - Rel. 1.4 (Build 1913)
