
 ID	 Pts	---	Pref	 B5	 B6	   Cur		 R1	 R2	

  7	 2.0	 WB	  w 	   	   	 (12W)		 21	 19	
  9	 2.0	 WB	  w 	   	   	  (2W)		 23	 27	
 12	 2.0	 BW	  b 	   	   	  (7B)		 26	  1	

  2	 1.5	 BW	  b 	   	   	  (9B)		 16	 11	
  3	 1.5	 WB	  w 	   	   	  (8W)		 17	 14	
  6	 1.5	 BW	  b 	   	   	 (24B)		 20	 18	
  8	 1.5	 BW	  b 	   	   	  (3B)		 22	 24	
 14	 1.5	 BW	  b 	   	   	 (18B)		 28	  3	
 18	 1.5	 WB	  w 	   	   	 (14W)		  4	  6	
 24	 1.5	 WB	  w 	   	   	  (6W)		 10	  8	

  1	 1.0	 WB	  w 	   	   	 (17W)		 15	 12	
  4	 1.0	 BW	  b 	   	   	 (19B)		 18	 20	
  5	 1.0	 WB	  w 	   	   	 (25W)		 19	 21	
 15	 1.0	 BW	  b 	   	   	 (22B)		  1	 26	
 16	 1.0	 WB	  w 	   	   	 (23W)		  2	 25	
 17	 1.0	 BW	  b 	   	   	  (1B)		  3	 28	
 19	 1.0	 BW	  b 	   	   	  (4W)		  5	  7	
 22	 1.0	 WB	  w 	   	   	 (15W)		  8	 10	
 23	 1.0	 BW	  b 	   	   	 (16B)		  9	 13	
 25	 1.0	 BW	  b 	   	   	  (5B)		 11	 16	
 27	 1.0	 BW	  b 	   	   	 (11B)		 13	  9	

 11	 0.5	 WB	  w 	   	   	 (27W)		 25	  2	

 10	 0.0	 BW	  b 	   	   	 (26B)		 24	 22	
 13	 0.0	 WB	  w 	   	   	 (21W)		 27	 23	
 20	 0.0	 WB	  w 	   	   	 (28W)		  6	  4	
 21	 0.0	 BW	  b 	   	   	 (13B)		  7	  5	
 26	 0.0	 WB	  w 	   	   	 (10W)		 12	 15	
 28	 0.0	 WB	  w 	   	   	 (20B)		 14	 17	


JaVaFo (rrweb.org/javafo) - Rel. 1.4 (Build 1913)
