
 ID	 Pts	----	Pref	 B5	 B6	   Cur		 R1	 R2	 R3	

  7	 3.0	 WBW	  b 	   	   	  (6B)		 21	 19	 12	

  2	 2.5	 BWB	  w 	  ▲	   	  (3W)		 16	 11	  9	
  3	 2.5	 WBW	  b 	   	   	  (2B)		 17	 14	  8	
  6	 2.5	 BWB	  w 	   	   	  (7W)		 20	 18	 24	

  1	 2.0	 WBW	  b 	   	   	 (14B)		 15	 12	 17	
  4	 2.0	 BWB	  w 	   	   	 (22W)		 18	 20	 19	
  9	 2.0	 WBW	  b 	  ▼	   	 (12B)		 23	 27	  2	
 12	 2.0	 BWB	  w 	   	   	  (9W)		 26	  1	  7	
 14	 2.0	 BWB	  w 	   	   	  (1W)		 28	  3	 18	
 18	 2.0	 WBW	  b 	   	   	  (5B)		  4	  6	 14	
 22	 2.0	 WBW	  b 	   	   	  (4B)		  8	 10	 15	

  5	 1.5	 WBW	  b 	   	   	 (18W)		 19	 21	 25	
  8	 1.5	 BWB	  w 	   	   	 (16W)		 22	 24	  3	
 11	 1.5	 WBW	  b 	  ▲	   	 (23B)		 25	  2	 27	
 16	 1.5	 WBW	  b 	   	   	  (8B)		  2	 25	 23	
 23	 1.5	 BWB	  w 	   	   	 (11W)		  9	 13	 16	
 24	 1.5	 WBW	  b 	   	   	 (25B)		 10	  8	  6	
 25	 1.5	 BWB	  w 	   	   	 (24W)		 11	 16	  5	

 15	 1.0	 BWB	  w 	   	   	 (20W)		  1	 26	 22	
 17	 1.0	 BWB	  w 	   	   	 (26W)		  3	 28	  1	
 19	 1.0	 BWW	  B 	   	   	 (27B)		  5	  7	  4	
 20	 1.0	 WBW	  b 	   	   	 (15B)		  6	  4	 28	
 21	 1.0	 BWB	  w 	   	   	 (10W)		  7	  5	 13	
 26	 1.0	 WBW	  b 	   	   	 (17B)		 12	 15	 10	
 27	 1.0	 BWB	  w 	  ▼	   	 (19W)		 13	  9	 11	

 10	 0.0	 BWB	  w 	   	   	 (21B)		 24	 22	 26	
 13	 0.0	 WBW	  b 	   	   	 (28B)		 27	 23	 21	
 28	 0.0	 WBB	  W 	   	   	 (13W)		 14	 17	 20	


JaVaFo (rrweb.org/javafo) - Rel. 1.4 (Build 1913)
