
 ID	 Pts	-----	Pref	 B5	 B6	   Cur		 R1	 R2	 R3	 R4	

  3	 3.5	 WBWB	  w 	   	   	  (7W)		 17	 14	  8	  2	
  7	 3.5	 WBWB	  w 	  ▼	   	  (3B)		 21	 19	 12	  6	

  1	 3.0	 WBWB	  w 	   	   	  (4W)		 15	 12	 17	 14	
  4	 3.0	 BWBW	  b 	   	   	  (1B)		 18	 20	 19	 22	
  6	 3.0	 BWBW	  b 	  ▲	   	  (9B)		 20	 18	 24	  7	

  2	 2.5	 BWBW	  b 	   	  ▲	 (18B)		 16	 11	  9	  3	
  9	 2.5	 WBWB	  w 	   	  ▼	  (6W)		 23	 27	  2	 12	
 12	 2.5	 BWBW	  b 	   	   	 (24B)		 26	  1	  7	  9	
 18	 2.5	 WBWB	  w 	  ▼	   	  (2W)		  4	  6	 14	  5	
 23	 2.5	 BWBW	  b 	   	   	  (8B)		  9	 13	 16	 11	
 24	 2.5	 WBWB	  w 	   	   	 (12W)		 10	  8	  6	 25	

  5	 2.0	 WBWW	  B 	  ▲	   	 (22B)		 19	 21	 25	 18	
  8	 2.0	 BWBW	  b 	   	   	 (23W)		 22	 24	  3	 16	
 14	 2.0	 BWBW	  b 	   	   	 (19B)		 28	  3	 18	  1	
 16	 2.0	 WBWB	  w 	   	   	 (21W)		  2	 25	 23	  8	
 17	 2.0	 BWBW	  b 	   	   	 (20B)		  3	 28	  1	 26	
 19	 2.0	 BWWB	  w 	   	   	 (14W)		  5	  7	  4	 27	
 21	 2.0	 BWBW	  b 	  ▼	   	 (16B)		  7	  5	 13	 10	
 22	 2.0	 WBWB	  w 	   	   	  (5W)		  8	 10	 15	  4	

 11	 1.5	 WBWB	  w 	   	  ▲	 (15W)		 25	  2	 27	 23	
 15	 1.5	 BWBW	  b 	   	   	 (11B)		  1	 26	 22	 20	
 20	 1.5	 WBWB	  w 	   	   	 (17W)		  6	  4	 28	 15	
 25	 1.5	 BWBW	  b 	   	   	 (26B)		 11	 16	  5	 24	

 26	 1.0	 WBWB	  w 	   	   	 (25W)		 12	 15	 10	 17	
 27	 1.0	 BWBW	  b 	   	  ▼	 (28B)		 13	  9	 11	 19	

 13	 0.5	 WBWB	  w 	   	   	 (10B)		 27	 23	 21	 28	
 28	 0.5	 WBBW	  b 	   	   	 (27W)		 14	 17	 20	 13	

 10	 0.0	 BWBB	  W 	  ▲	   	 (13W)		 24	 22	 26	 21	


JaVaFo (rrweb.org/javafo) - Rel. 1.4 (Build 1913)
