
 ID	 Pts	------	Pref	 B5	 B6	   Cur		 R1	 R2	 R3	 R4	 R5	

  7	 4.5	 WBWBB	  W 	   	  ▼	  (4W)		 21	 19	 12	  6	  3	

  4	 4.0	 BWBWB	  w 	   	   	  (7B)		 18	 20	 19	 22	  1	
  6	 4.0	 BWBWB	  w 	  ▼	  ▲	  (3W)		 20	 18	 24	  7	  9	

  2	 3.5	 BWBWB	  w 	   	   	 (24W)		 16	 11	  9	  3	 18	
  3	 3.5	 WBWBW	  b 	   	   	  (6B)		 17	 14	  8	  2	  7	
 24	 3.5	 WBWBW	  b 	   	   	  (2B)		 10	  8	  6	 25	 12	

  1	 3.0	 WBWBW	  b 	   	   	  (8W)		 15	 12	 17	 14	  4	
  5	 3.0	 WBWWB	  b 	   	  ▲	 (14B)		 19	 21	 25	 18	 22	
  8	 3.0	 BWBWW	  B 	  ▲	   	  (1B)		 22	 24	  3	 16	 23	
 14	 3.0	 BWBWB	  w 	   	   	  (5W)		 28	  3	 18	  1	 19	

  9	 2.5	 WBWBW	  b 	  ▲	   	 (21B)		 23	 27	  2	 12	  6	
 12	 2.5	 BWBWB	  w 	   	   	 (16W)		 26	  1	  7	  9	 24	
 16	 2.5	 WBWBW	  b 	   	   	 (12B)		  2	 25	 23	  8	 21	
 18	 2.5	 WBWBW	  b 	   	  ▼	 (23B)		  4	  6	 14	  5	  2	
 20	 2.5	 WBWBW	  b 	  ▲	   	 (25B)		  6	  4	 28	 15	 17	
 21	 2.5	 BWBWB	  w 	   	  ▼	  (9W)		  7	  5	 13	 10	 16	
 23	 2.5	 BWBWB	  w 	  ▼	   	 (18W)		  9	 13	 16	 11	  8	
 25	 2.5	 BWBWB	  w 	  ▼	   	 (20W)		 11	 16	  5	 24	 26	

 11	 2.0	 WBWBW	  b 	   	   	 (17B)		 25	  2	 27	 23	 15	
 15	 2.0	 BWBWB	  w 	   	   	 (19W)		  1	 26	 22	 20	 11	
 17	 2.0	 BWBWB	  w 	  ▼	   	 (11W)		  3	 28	  1	 26	 20	
 19	 2.0	 BWWBW	  b 	   	   	 (15B)		  5	  7	  4	 27	 14	
 22	 2.0	 WBWBW	  b 	   	   	 (27B)		  8	 10	 15	  4	  5	

 27	 1.5	 BWBWB	  w 	  ▼	   	 (22W)		 13	  9	 11	 19	 28	

 10	 1.0	 BWBBW	  w 	  ▲	  ▲	 (28W)		 24	 22	 26	 21	 13	
 26	 1.0	 WBWBW	  b 	  ▲	   	 (13B)		 12	 15	 10	 17	 25	
 28	 1.0	 WBBWW	  B 	  ▲	   	 (10B)		 14	 17	 20	 13	 27	

 13	 0.5	 WBWBB	  W 	  ▼	   	 (26W)		 27	 23	 21	 28	 10	


JaVaFo (rrweb.org/javafo) - Rel. 1.4 (Build 1913)
